,id,title_romaji,format,chapters,genres,tags,country,popularity,favourites,averageScore,status,description,desc_char_len,desc_word_count,sentiment_score,tag_count,is_Romance,is_Comedy,is_Drama,is_Fantasy,is_Action,is_School Life
0,105778,Chainsaw Man,MANGA,28.0,"['Action', 'Comedy', 'Drama', 'Horror', 'Supernatural']","['demons', 'tragedy', 'urban fantasy', 'dissociative identities', 'coming of age', 'male protagonist', 'gore', 'body horror', 'psychosexual', 'cosmic horror', 'henshin', 'female protagonist', 'urban', 'monster boy', 'survival', 'found family', 'work', 'ensemble cast', 'memory manipulation', 'shounen', 'yandere', 'cult', 'heterosexual', 'guns', 'assassins', 'monster girl', 'human pet', 'femdom', 'revenge', 'terrorism', 'shapeshifting', 'slapstick', 'meta', 'philosophy', 'afterlife', 'primarily teen cast', 'nudity', 'delinquents', 'cannibalism', 'school', 'angels', 'amnesia', 'necromancy', 'time skip', 'politics', 'yakuza', 'mafia', 'lgbtq+ themes', 'tsundere', 'zombie', 'chimera', 'motorcycles', 'surreal comedy', 'vore']",JP,298644,41451,85.0,RELEASING,"The name says it all! Denji's life of poverty is changed forever when he merges with his pet chainsaw dog, Pochita! Now he's living in the big city and an official Devil Hunter. But he's got a lot to learn about his new job and chainsaw powers!<br>
<br>
(Source: MANGA Plus)<br>
<br>
<i>Notes:<br>
- Nominated for the 2020 Manga Taisho Award.<br>
- Winner of the 2021 Kono Manga ga Sugoi Award.<br>
- Winner of the 66th Shogakukan Manga Award in the shounen category.<br>
- Winner of the 2021 and 2022 Harvey Award for Best Manga.<br>
- Chapters 1-97 were released in Weekly Shounen Jump from Dec 3, 2018 to Dec 13, 2020. The series resumed from Ch. 98 in Shounen Jump+ on July 12, 2022</i>",690,125,0.37878787878787873,54,0,1,1,0,1,0
1,105398,Na Honjaman Level Up,MANGA,201.0,"['Action', 'Adventure', 'Fantasy']","['dungeon', 'male protagonist', 'super power', 'war', 'full color', 'magic', 'necromancy', 'urban fantasy', 'gods', 'primarily adult cast', 'politics', 'demons', 'post-apocalyptic', 'video games', 'foreign', 'tragedy', 'memory manipulation', 'anti-hero', 'time manipulation', 'bullying', 'estranged family', 'long strip', 'age regression', 'assassins', 'heterosexual', 'chimera', 'language barrier', 'time skip', 'snowscape', 'marriage']",KR,260393,28783,84.0,FINISHED,"In a world where awakened beings called “Hunters” must battle deadly monsters to protect humanity, Seong Jin-U, nicknamed “the weakest hunter of all mankind,” finds himself in a constant struggle for survival. One day, after a brutal encounter in an overpowered dungeon wipes out his party and threatens to end his life, a mysterious System chooses him as its sole player: Jin-U has been granted the rare opportunity to level up his abilities, possibly beyond any known limits. Follow Jin-U’s journey as he takes on ever-stronger enemies, both human and monster, to discover the secrets deep within the dungeons and the ultimate extent of his powers.
<br><br>
(Source: Tappytoon)
<br><br>
<i>Note: Includes 22 extra chapters.</i>",729,115,-0.07045454545454545,30,0,0,0,1,1,0
2,101517,Jujutsu Kaisen,MANGA,272.0,"['Action', 'Drama', 'Supernatural']","['urban fantasy', 'demons', 'super power', 'shounen', 'curses', 'tragedy', 'male protagonist', 'monster boy', 'youkai', 'magic', 'martial arts', 'body horror', 'dissociative identities', 'death game', 'gore', 'primarily teen cast', 'battle royale', 'urban', 'exorcism', 'ensemble cast', 'cosmic horror', 'amnesia', 'sadism', 'body swapping', 'cult', 'philosophy', 'school', 'anthropomorphism', 'assassins', 'time manipulation', 'swordplay', 'time skip', 'nudity', 'slapstick']",JP,226747,20422,80.0,FINISHED,"Although Yuji Itadori looks like your average teenager, his immense physical strength is something to behold! Every sports club wants him to join, but Itadori would rather hang out with the school outcasts in the Occult Research Club. One day, the club manages to get their hands on a sealed cursed object. Little do they know the terror they’ll unleash when they break the seal…
<br><br>
(Source: Viz Media)
<br><br>
<i>Notes:<br>
- Ranked 1st in Japan's Bookstore Employees Top Manga of 2018.<br>
- Nominated for the 25th Annual Tezuka Osamu Cultural Prize in 2021.<br>
- Nominated for the 65th Shogakukan Manga Award in the Shounen Category in 2019.<br>
- Includes one extra chapter.</i>",690,113,0.0578125,34,0,0,1,0,1,0
3,30002,Berserk,MANGA,28.0,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror', 'Psychological']","['tragedy', 'seinen', 'revenge', 'male protagonist', 'demons', 'cosmic horror', 'gore', 'philosophy', 'found family', 'rape', 'anti-hero', 'rehabilitation', 'swordplay', 'travel', 'mythology', 'magic', 'war', 'survival', 'body horror', 'foreign', 'gods', 'religion', 'primarily adult cast', 'nudity', 'fairy', 'politics', 'disability', 'dystopian', 'military', 'witch', 'amnesia', 'time skip', 'elf', 'coming of age', 'sadism', 'torture', 'heterosexual', 'ensemble cast', 'kaiju', 'curses', 'achronological order', 'age regression', 'skeleton', 'cult', 'tomboy', 'medieval', 'adoption', 'dungeon', 'super power', 'kingdom management', 'slavery', 'group sex', 'pregnancy', 'prostitution', 'cannibalism', 'dragons', 'incest', 'ships', 'monster girl', 'vore', 'lgbtq+ themes', 'masturbation', 'monster boy', 'mermaid', 'fellatio']",JP,221020,35014,93.0,RELEASING,"His name is Guts, the Black Swordsman, a feared warrior spoken of only in whispers. Bearer of a gigantic sword, an iron hand, and the scars of countless battles and tortures, his flesh is also indelibly marked with The Brand, an unholy symbol that draws the forces of darkness to him and dooms him as their sacrifice. But Guts won't take his fate lying down; he'll cut a crimson swath of carnage through the ranks of the damned—and anyone else foolish enough to oppose him! Accompanied by Puck the Elf, more an annoyance than a companion, Guts relentlessly follows a dark, bloodstained path that leads only to death...or vengeance.<br>
<br>
(Source: Dark Horse)<br>
<br>
<i>Notes:<br>
- Volumes 1-5 contain the 16 prequel chapters 0A - 0P.<br>
- <a href=""https://anilist.co/manga/95821/"">Chapter 83</a> was omitted from Volume 13 due to the author’s request.<br>
- Volume 14 includes “<a href=""https://anilist.co/manga/36408/"">Berserk: The Prototype</a>”.<br>
- Due to the author's passing, starting from Chapter 365, the manga is illustrated by Studio Gaga (Miura's assistants) and supervised by Kouji Mori (a close friend of Miura's).</i>",1140,177,-0.0623015873015873,65,0,0,1,1,1,0
4,53390,Shingeki no Kyojin,MANGA,141.0,"['Action', 'Drama', 'Fantasy', 'Mystery']","['dystopian', 'anti-hero', 'war', 'tragedy', 'military', 'conspiracy', 'survival', 'philosophy', 'kaiju', 'shapeshifting', 'memory manipulation', 'politics', 'revenge', 'henshin', 'male protagonist', 'monster boy', 'terrorism', 'medieval', 'post-apocalyptic', 'super power', 'gore', 'time manipulation', 'body horror', 'ensemble cast', 'cosmic horror', 'time skip', 'cannibalism', 'coming of age', 'slavery', 'swordplay', 'torture', 'shounen', 'espionage', 'mythology', 'amnesia', 'tsundere', 'kuudere', 'class struggle', 'disability', 'cult', 'dissociative identities', 'drugs', 'achronological order', 'transgender', 'religion', 'heterosexual', 'reincarnation', 'suicide', 'baseball', 'acrobatics', 'yuri', 'primarily adult cast']",JP,215014,19313,84.0,FINISHED,"In this post-apocalyptic sci-fi story, humanity has been devastated by the bizarre, giant humanoids known as the Titans. Little is known about where they came from or why they are bent on consuming mankind. Seemingly unintelligent, they have roamed the world for years, killing everyone they see. For the past century, what's left of man has hidden in a giant, three-walled city. People believe their 50-meter-high walls will protect them from the Titans, but the sudden appearance of an immense Titan is about to change everything.
<br><br>
(Source: Kodansha USA)
<br><br>
<i>Note: Includes two extra chapters.</i>",615,96,-0.07765151515151514,52,0,0,1,1,1,0
5,30013,ONE PIECE,MANGA,28.0,"['Action', 'Adventure', 'Comedy', 'Fantasy']","['pirates', 'travel', 'found family', 'shounen', 'ensemble cast', 'super power', 'ships', 'tragedy', 'male protagonist', 'fugitive', 'politics', 'conspiracy', 'crime', 'military', 'war', 'slapstick', 'terrorism', 'time skip', 'anachronism', 'primarily adult cast', 'primarily male cast', 'board game', 'lost civilization', 'slavery', 'post-apocalyptic', 'gods', 'cultivation', 'swordplay', 'animals', 'mythology', 'environmental', 'meta', 'religion', 'gangs', 'espionage', 'anti-hero', 'prison', 'anthropomorphism', 'skeleton', 'samurai', 'cyborg', 'henshin', 'adoption', 'food', 'medicine', 'robots', 'mermaid', 'assassins', 'drugs', 'guns', 'battle royale', 'revenge', 'dragons', 'amnesia', 'monster girl', 'oiran', 'desert', 'surreal comedy', 'time manipulation', 'kemonomimi', 'demons', 'memory manipulation', 'ninja', 'zombie', 'trains', 'aliens', 'centaur', 'lgbtq+ themes', 'dinosaurs', 'angels', 'transgender', 'clone', 'shapeshifting', 'bar', 'gender bending', 'female protagonist', 'body swapping', 'curses', 'arranged marriage', 'artificial intelligence']",JP,210827,39506,91.0,RELEASING,"As a child, Monkey D. Luffy was inspired to become a pirate by listening to the tales of the buccaneer ""Red-Haired"" Shanks. But his life changed when Luffy accidentally ate the Gum-Gum Devil Fruit and gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, still vowing to become the king of the pirates, Luffy sets out on his adventure...one guy alone in a rowboat, in search of the legendary ""One Piece,"" said to be the greatest treasure in the world...
<br><br>
(Source: Viz Media)",530,93,0.515,80,0,1,0,1,1,0
6,87216,Kimetsu no Yaiba,MANGA,207.0,"['Action', 'Adventure', 'Drama', 'Supernatural']","['demons', 'shounen', 'swordplay', 'tragedy', 'male protagonist', 'revenge', 'gore', 'historical', 'afterlife', 'body horror', 'rural', 'orphan', 'time skip', 'coming of age', 'shapeshifting', 'travel', 'reincarnation', 'oiran', 'trains', 'guns', 'crossdressing', 'age regression', 'disability', 'bisexual', 'polyamorous', 'youkai', 'animals', 'religion', 'food']",JP,195328,12962,79.0,FINISHED,"The setting is Taisho era Japan. Tanjirou is a kindhearted young boy who lived peacefully with his family as a coal seller. Their normal life changes completely when his family is slaughtered by demons. The only other survivor, Tanjirou's younger sister Nezuko, has become a ferocious demon. In order to return Nezuko to normal and get revenge on the demon that killed their family, the two of them depart on a journey. From a young talent, an adventure tale of blood and swords begins!
<br><br>
(Source: Shonen Jump)
<br><br>
<i>Notes:<br>
- Includes two extra chapters.<br> 
- Nominated to the 24th and 25th Annual Tezuka Osamu Cultural Prize.</i>",649,107,0.05416666666666667,29,0,0,1,0,1,0
7,63327,Tokyo Ghoul,MANGA,144.0,"['Action', 'Horror', 'Mystery', 'Psychological', 'Supernatural']","['tragedy', 'urban fantasy', 'cannibalism', 'gore', 'male protagonist', 'dystopian', 'seinen', 'survival', 'philosophy', 'coming of age', 'shapeshifting', 'body horror', 'torture', 'police', 'cosmic horror', 'kuudere', 'primarily adult cast', 'heterosexual', 'chimera', 'twins', 'mythology', 'cute boys doing cute things', 'demons']",JP,176635,14941,84.0,FINISHED,"Shy Ken Kaneki is thrilled to go on a date with the beautiful Rize. But it turns out that she’s only interested in his body—eating it, that is. When a morally questionable rescue transforms him into the first half-human half-Ghoul hybrid, Ken is drawn into the dark and violent world of Ghouls, which exists alongside our own.
<br><br>
(Source: Viz Media)
<br><br>
<i>Note: Includes one extra chapter.</i>",405,67,0.054545454545454536,23,0,0,0,0,1,0
8,85486,Boku no Hero Academia,MANGA,432.0,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy']","['superhero', 'super power', 'shounen', 'primarily teen cast', 'male protagonist', 'ensemble cast', 'boarding school', 'terrorism', 'school', 'urban fantasy', 'cultivation', 'coming of age', 'crime', 'anti-hero', 'criminal organization', 'war', 'revenge', 'urban', 'primarily male cast', 'tragedy', 'politics', 'gore', 'heterosexual', 'body horror', 'drugs', 'fugitive', 'animals', 'tomboy', 'guns', 'age regression', 'rescue', 'yakuza', 'robots', 'nudity', 'memory manipulation', 'yandere', 'teacher']",JP,168725,9547,77.0,FINISHED,"Middle school student Izuku Midoriya wants to be a hero more than anything, but he hasn’t got an ounce of power in him. With no chance of ever getting into the prestigious U.A. High School for budding heroes, his life is looking more and more like a dead end. Then an encounter with All Might, the greatest hero of them all, gives him a chance to change his destiny…<br><br>(Source: Viz Media)
<br><br>
<i>Note:<br>
- Winner of the 1st Next Manga Award in the Print Category in 2015.<br>
- Nominated for the 8th Manga Taisho Award in 2015.<br> 
- Nominated for the 40th Kodansha Manga Award in the Shounen Category in 2016.<br> 
- Chapter count includes a bonus chapter included in volume 10 “Tsuyu-chan no Kerokero Nikki“.</i>",727,126,0.27599999999999997,37,0,1,1,1,1,0
9,34632,Oyasumi Punpun,MANGA,147.0,"['Drama', 'Psychological', 'Slice of Life']","['coming of age', 'seinen', 'tragedy', 'philosophy', 'denpa', 'suicide', 'psychosexual', 'urban', 'heterosexual', 'male protagonist', 'anti-hero', 'time skip', 'surreal comedy', 'meta', 'school', 'fugitive', 'gods', 'cult', 'rape', 'work', 'nudity', 'body horror', 'love triangle', 'religion']",JP,167858,18889,88.0,FINISHED,"Meet Punpun Punyama. He’s an average kid in an average town.<br>
He wants to win a Nobel Prize and save the world.<br>
He wants the girl he has a crush on to like him back.<br>
He wants to find some porn.<br>
That’s what he wants, but what does he get…?
<br><br>
(Source: Viz Media)",282,54,0.18571428571428572,24,0,0,1,0,0,0
